Timestamp,FlowRate,TotalVol,AvgFlowRate
2026-03-09 13:14:02,0.0,5.0,0.01
2026-03-09 13:14:07,0.0,5.0,0.01
2026-03-09 13:14:12,0.0,5.0,0.01
2026-03-09 13:14:17,0.0,5.0,0.01
2026-03-09 13:14:22,0.0,5.0,0.01
2026-03-09 13:14:27,0.0,5.0,0.01
2026-03-09 13:14:32,0.0,5.0,0.01
2026-03-09 13:14:37,0.0,5.0,0.01
2026-03-09 13:14:42,0.0,5.0,0.01
2026-03-09 13:14:47,0.0,5.0,0.01
2026-03-09 13:14:52,0.0,5.0,0.01
2026-03-09 13:14:57,0.0,5.0,0.01
2026-03-09 13:15:02,0.0,5.0,0.01
2026-03-09 13:15:07,0.0,5.0,0.01
2026-03-09 13:15:12,0.0,5.0,0.01
2026-03-09 13:15:17,0.0,5.0,0.01
2026-03-09 13:15:22,0.0,5.0,0.01
2026-03-09 13:15:27,0.0,5.0,0.01
2026-03-09 13:15:32,0.0,5.0,0.01
2026-03-09 13:15:37,0.0,5.0,0.01
2026-03-09 13:15:42,0.0,5.0,0.01
2026-03-09 13:15:47,0.0,5.0,0.01
2026-03-09 13:15:52,0.0,5.0,0.01
2026-03-09 13:15:57,0.0,5.0,0.01
2026-03-09 13:16:02,0.0,5.0,0.01
2026-03-09 13:16:07,0.0,5.0,0.01
2026-03-09 13:16:12,0.0,5.0,0.01
2026-03-09 13:16:17,0.0,5.0,0.01
2026-03-09 13:16:22,0.0,5.0,0.01
2026-03-09 13:16:27,0.0,5.0,0.01
2026-03-09 13:16:32,0.0,5.0,0.01
2026-03-09 13:16:37,0.0,5.0,0.01
2026-03-09 13:16:42,0.0,5.0,0.01
2026-03-09 13:16:47,0.0,5.0,0.01
2026-03-09 13:16:52,0.0,5.0,0.01
2026-03-09 13:16:57,0.0,5.0,0.01
2026-03-09 13:17:02,0.0,5.0,0.01
2026-03-09 13:17:07,0.0,5.0,0.01
2026-03-09 13:17:12,0.0,5.0,0.01
2026-03-09 13:17:17,0.0,5.0,0.01
2026-03-09 13:17:22,0.0,5.0,0.01
2026-03-09 13:17:27,0.0,5.0,0.01
2026-03-09 13:17:33,0.0,5.0,0.01
2026-03-09 13:17:38,0.0,5.0,0.01
2026-03-09 13:17:43,0.0,5.0,0.01
2026-03-09 13:17:48,0.0,5.0,0.01
2026-03-09 13:17:53,0.0,5.0,0.01
2026-03-09 13:17:58,0.0,5.0,0.01
2026-03-09 13:18:03,0.0,5.0,0.01
2026-03-09 13:18:08,0.0,5.0,0.01
2026-03-09 13:18:13,0.0,5.0,0.01
2026-03-09 13:18:18,0.0,5.0,0.01
